Id,SalePrice
1461,129658.94666093838
1462,158230.26479537587
1463,186793.03076166663
1464,190326.37497162627
1465,186035.7800995485
1466,179492.8488687336
1467,171110.82237865534
1468,170788.05958731694
1469,178908.05475890284
1470,124932.32111323232
1471,205307.2762475485
1472,95553.38954468051
1473,98964.87274817028
1474,151123.65386736693
1475,124249.73049538516
1476,354625.9171145117
1477,251771.4270011181
1478,290923.6513167014
1479,276182.1510307072
1480,511379.5829960662
1481,340360.6327677174
1482,204711.5856397425
1483,183164.88710622746
1484,170781.27728531492
1485,177128.15306827644
1486,192502.79611293486
1487,313632.99370286404
1488,231050.02139436663
1489,196507.50005869017
1490,224888.6337399577
1491,195739.0055661839
1492,96293.08493814756
1493,169573.84733503632
1494,298917.0881094286
1495,285076.30555727927
1496,239201.1115152041
1497,177791.6139541665
1498,159090.5849720015
1499,156215.22889315774
1500,162827.69153185654
1501,169997.52182543243
1502,151335.06587237946
1503,265470.21875222743
1504,232805.78725492224
1505,226355.17200664053
1506,184347.41315786014
1507,260163.81814786384
1508,198953.08195827503
1509,160295.75067715053
1510,149193.84772221063
1511,147979.95953345663
1512,172103.78041214254
1513,138776.4862771565
1514,152195.9538465721
1515,195802.08907983376
1516,149394.4204660069
1517,157496.477052545
1518,136196.48902803246
1519,224191.35550247564
1520,137351.3121519316
1521,141833.84109836497
1522,168444.23591778288
1523,115686.73524248553
1524,121185.6035101324
1525,126937.16495965286
1526,127607.47724769579
1527,108542.88704603924
1528,129957.1316086702
1529,146138.63325608955
1530,161737.5978398997
1531,120142.62792630802
1532,96074.50963880305
1533,147252.28111176402
1534,118125.98809841364
1535,157594.88059671907
1536,110211.30531167203
1537,79693.93555763252
1538,137458.59303318005
1539,196919.26189856057
1540,101529.30051027295
1541,147190.47308037052
1542,139939.86392686242
1543,200689.75997628385
1544,83619.64952307814
1545,107410.2863997585
1546,127245.01410449497
1547,138393.97189102042
1548,127551.43769580878
1549,112694.16155541457
1550,136153.32086494993
1551,118967.34989974124
1552,136444.34056365673
1553,148970.760670701
1554,116604.5894411096
1555,159044.08635541986
1556,84095.26285666425
1557,105243.69175220713
1558,91867.16796927634
1559,83234.93624842675
1560,136229.62428627934
1561,145031.13862071655
1562,127400.15596549415
1563,121222.28459778627
1564,166598.355825712
1565,148348.32453650064
1566,235786.53493179244
1567,81347.04877303974
1568,237605.59921131056
1569,151820.40421057632
1570,134081.59616730525
1571,118764.75023818952
1572,150160.5871125482
1573,236414.34830088046
1574,108257.62285799294
1575,208394.02304885883
1576,239169.6980114307
1577,194351.6345950873
1578,138940.41605099055
1579,144638.14635673538
1580,191302.22574344763
1581,152593.52744389148
1582,124516.28352355419
1583,323409.5257801825
1584,236339.11007419656
1585,145959.63172405437
1586,73664.92550373438
1587,96491.2927949611
1588,147616.3348960502
1589,107386.1427602251
1590,134230.3631566066
1591,100881.24967143658
1592,125723.2425419507
1593,116022.48707770367
1594,125375.84287779944
1595,108327.65287012268
1596,234621.5092650031
1597,186589.60243223218
1598,202133.48822407005
1599,176198.90227634858
1600,179842.1836027156
1601,69328.40552340851
1602,116753.84877470222
1603,76268.3653674425
1604,280264.0740222408
1605,244862.36548266243
1606,170584.25382738322
1607,169595.1068436318
1608,214777.58703673747
1609,184195.31937439984
1610,152730.2922270589
1611,146707.57553753964
1612,179638.35566732674
1613,173463.25055288846
1614,126335.20822160084
1615,88777.19180544345
1616,78624.24420352885
1617,88559.05120638535
1618,120429.00821952368
1619,140975.11394960262
1620,160608.7350338502
1621,141926.65158853363
1622,145201.4671091089
1623,277607.4832403014
1624,225226.02817066808
1625,125121.09323442339
1626,162722.58002918918
1627,187725.12409404933
1628,274789.40157490026
1629,170450.35743371697
1630,372035.88465249684
1631,193609.7693880932
1632,236398.06075515962
1633,165885.44134193458
1634,181579.25037281713
1635,176773.80363321345
1636,163017.04222776226
1637,187777.90136582957
1638,199251.76186085274
1639,184566.86302208848
1640,255875.73524808136
1641,173802.13673385026
1642,230186.63432090235
1643,222943.42472790132
1644,222589.29349379166
1645,188459.31234992485
1646,155815.9804342017
1647,159238.84065250852
1648,136903.90507297814
1649,140033.02298062647
1650,116699.1725342758
1651,120577.98329267309
1652,96236.76227365939
1653,97012.36568529645
1654,154041.0443311168
1655,148691.95883880285
1656,148593.45127121566
1657,152742.7650901538
1658,151232.49094149793
1659,127429.54545177057
1660,161532.83406512756
1661,445070.36981924396
1662,367593.9123134769
1663,372031.0252629148
1664,439628.58211719047
1665,308883.4938178138
1666,315801.6887601472
1667,357429.5306387476
1668,334196.2847143565
1669,278495.3925304916
1670,337569.2355041665
1671,276069.27479632595
1672,485731.0899723937
1673,286031.260882752
1674,236248.23508851876
1675,193715.35984459115
1676,191866.55208493373
1677,221043.8029939048
1678,491379.24435943627
1679,409567.1582085471
1680,354453.3752286964
1681,249847.57116649044
1682,301377.36159651366
1683,183364.44709157443
1684,174931.26758841483
1685,175017.33674015733
1686,174829.57266575904
1687,169705.02900248166
1688,189635.10723646823
1689,192108.21193553036
1690,189665.63625154426
1691,178975.92240020138
1692,247347.97597180316
1693,169470.00334539998
1694,177836.08251567945
1695,160393.68301784093
1696,272636.28948536766
1697,161900.30606853007
1698,342759.6671161633
1699,324801.29619810055
1700,249518.15307928092
1701,269993.12251950154
1702,253717.99954869208
1703,256860.42651572265
1704,281130.51043428684
1705,221356.56017653664
1706,431278.7477553313
1707,214264.32456687305
1708,210058.69719569938
1709,259488.7818162739
1710,216369.98685226715
1711,256707.1684674601
1712,261038.62487056875
1713,280950.054934275
1714,220575.45865505093
1715,205001.30401538473
1716,179687.54082650205
1717,170187.9692314948
1718,134168.43902685936
1719,202626.9560451871
1720,224151.28388553887
1721,164029.3712486594
1722,121831.2984769378
1723,157193.2887106471
1724,209093.89610717696
1725,232320.04948328258
1726,193722.85062821454
1727,168064.94119828354
1728,178618.38215330147
1729,161534.89669954235
1730,147782.79673789316
1731,125563.70781802897
1732,129476.64898081044
1733,120787.48190616308
1734,119121.00759672358
1735,137187.5935572609
